tenure,MonthlyCharges,Contract,InternetService,PaymentMethod,Churn_Probability,risk_summary,key_drivers,recommendation,urgency
1,102.45,Month-to-month,Fiber optic,Electronic check,0.7557720576408019,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $102.45/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,101.45,Month-to-month,Fiber optic,Electronic check,0.7549349219141261,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $101.45/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,100.8,Month-to-month,Fiber optic,Electronic check,0.7543897454935201,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $100.80/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,99.75,Month-to-month,Fiber optic,Electronic check,0.7535073495141291,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $99.75/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
2,104.4,Month-to-month,Fiber optic,Electronic check,0.7517852387259432,"This customer is at high risk primarily due to their month-to-month contract and short 2-month tenure, combined with a premium $104.40/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,95.85,Month-to-month,Fiber optic,Electronic check,0.7502112435965649,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $95.85/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,95.6,Month-to-month,Fiber optic,Electronic check,0.7499989551090197,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $95.60/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,95.45,Month-to-month,Fiber optic,Electronic check,0.7498715242970455,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $95.45/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,95.1,Month-to-month,Fiber optic,Electronic check,0.7495740174351572,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $95.10/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,95.0,Month-to-month,Fiber optic,Electronic check,0.7494889722071912,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $95.00/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,94.6,Month-to-month,Fiber optic,Electronic check,0.7491485990581783,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $94.60/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
3,107.95,Month-to-month,Fiber optic,Electronic check,0.7491197298171668,"This customer is at high risk primarily due to their month-to-month contract and short 3-month tenure, combined with a premium $107.95/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,94.4,Month-to-month,Fiber optic,Electronic check,0.7489782971724582,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $94.40/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,94.0,Month-to-month,Fiber optic,Electronic check,0.7486374628679229,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $94.00/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,93.85,Month-to-month,Fiber optic,Electronic check,0.7485095707811485,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $93.85/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,93.55,Month-to-month,Fiber optic,Electronic check,0.7482536570138948,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $93.55/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
2,100.2,Month-to-month,Fiber optic,Electronic check,0.7482178537203572,"This customer is at high risk primarily due to their month-to-month contract and short 2-month tenure, combined with a premium $100.20/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,93.3,Month-to-month,Fiber optic,Electronic check,0.7480402635840768,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $93.30/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
3,105.9,Month-to-month,Fiber optic,Electronic check,0.7473703612357703,"This customer is at high risk primarily due to their month-to-month contract and short 3-month tenure, combined with a premium $105.90/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,91.7,Month-to-month,Fiber optic,Electronic check,0.7466717073990976,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $91.70/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
3,105.0,Month-to-month,Fiber optic,Electronic check,0.7465997998352579,"This customer is at high risk primarily due to their month-to-month contract and short 3-month tenure, combined with a premium $105.00/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,91.3,Month-to-month,Fiber optic,Electronic check,0.7463288019628926,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $91.30/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.85,Month-to-month,Fiber optic,Electronic check,0.7459426672868366,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.85/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.75,Month-to-month,Fiber optic,Electronic check,0.7458568069658207,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.75/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.6,Month-to-month,Fiber optic,Electronic check,0.7457279806208397,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.60/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.6,Month-to-month,Fiber optic,Electronic check,0.7457279806208397,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.60/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.55,Month-to-month,Fiber optic,Electronic check,0.7456850289434688,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.55/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.55,Month-to-month,Fiber optic,Electronic check,0.7456850289434688,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.55/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
2,97.1,Month-to-month,Fiber optic,Electronic check,0.7455630587999609,"This customer is at high risk primarily due to their month-to-month contract and short 2-month tenure, combined with a premium $97.10/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
1,90.1,Month-to-month,Fiber optic,Electronic check,0.7452982487529386,"This customer is at high risk primarily due to their month-to-month contract and short 1-month tenure, combined with a premium $90.10/month fiber plan.",Month-to-month contract with no commitment; Fiber optic service (higher churn segment); Electronic check payment method,"Offer a discounted 1-year contract upgrade with a loyalty incentive within the first billing cycle, before the month-to-month renewal point.",High
